Class,Subclass,Caption
02691156,e6f0811f15286120cedbd07f4cf21a81,a white airplane with a red and blue logo flying in the air.
02691156,1890f6391df25286394b1e418d5c594,"a predominantly white jet aircraft with a sleek design, two engines, and a black stripe along the side."
02691156,a5639c976e677ce6e719b5362fe06bbb,"a large, white airplane with a gray and blue striped pattern and two engines on each wing."
02691156,a5215569ae825265ff3feb917a6004b,"a large, white airplane with a yellow body and two propellers on each wing."
02691156,cf911e274fb613fbbf3143b1cb6076a,"a white airplane with a black and red logo, two engines, curved wings with a black stripe, and a red tail flying in the sky."
02747177,330cdd681a0890b190fdbeabcd02777c,a shiny red cylinder with a smooth surface and a rounded top.
02747177,e05add2e5e4574997c6269fe8093902c,"a gray cylindrical object with a rounded top, curved bottom, and a circular opening at the top."
02747177,46fca3bdcd454402f155d75bbf62b80,"a cylindrical object with a smooth surface, black cap, and vertical line pattern."
02747177,a8f009b0b4a76bf663b2acb037dfbcde,"a cylindrical object with a white and black striped pattern, a rounded top, and a smooth reflective surface."
02747177,7a73f3cf362ef4fa619b1cc3b6756f94,"a rectangular brown cardboard box with a white ""PUSH"" label, centrally positioned on a flat surface with a shadow."
02773838,b1234d3adf9e476e9432386574f02229,"a bag with a distinctive pattern of blue and white dots, featuring a textured surface, flap closure, multiple zippers, and a handle for carrying."
02773838,2022610a5d1a8455abc49cae1a831a9e,"a white bag with a floral pattern, metallic handle, gold clasp, and rectangular shape."
02773838,220f08ff0c1d2a4542282fc88db7886b,"a large, rectangular handbag with a red and black patterned exterior, a white handle, and a black strap."
02773838,c5c0f63f94ddf4c258d149fbd24761c4,"a white leather briefcase with a textured surface, a handle on top, and a flap on the bottom."
02773838,22b7d6fa819d62aefc69b7db9c6d5ad9,a white plastic bag with a red and white label featuring a picture of tulips.
02801938,2ca614e0e17d4e93162da3dc7be329d5,"a round, metallic gray object with a smooth, shiny surface and a central hole for holding or storing items."
02801938,ff796cbcee132bad747e9c0bb7bd88eb,"a shiny cylindrical object with a smooth surface, rounded top, and a hole at the bottom."
02801938,526a9f51fe93659c3c140c326fab0b5b,"a black cylindrical object with a smooth matte finish and a rounded top, featuring a subtle mesh-like pattern."
02801938,a2038457c94b4a5a36b0f2a1430e993a,"a closed rectangular wooden box with a brownish hue and a patterned design, featuring a handle on the top right side."
02801938,9394df08489ae97eba5342d638d0c267,a square-shaped brown wicker box with a smooth surface and a hole in the center.
02808440,a00e66c628e452413beb0acbcd481c2d,"a circular pool with a blue water surface, surrounded by a white base and four triangular supports against a gray background."
02808440,e37fc3b3ec688a44a451f23dc98be5f0,"a rectangular bathtub with a white interior, black exterior, and multiple circular holes for water jets."
02808440,3b222c644a783ebbfcd4910413c446d9,"a circular, transparent or translucent object with a smooth surface and a central hole."
02808440,8662ec01d9c580827ac6ce513ae497d3,"a brownish, rectangular wooden object with a smooth surface and curved shape."
02808440,b16eae893bd12a87b8724a732b3d4cc1,"a white, oval-shaped bathtub with a smooth, curved edge and rounded bottom."
02818832,96bf3b5230681dd9e595fd37db7104a,"A 3D rendering of a simple yet elegant wooden bed with a geometric pattern on the frame, positioned on a gray floor beside a wooden shelf and two wooden cubes with blue squares on top."
02818832,7121c556308b16bf158482250c99c0b3,"A wooden bed frame with a green and white floral pattern, equipped with two white pillows, is positioned against a gray background and integrated into a wooden shelf filled with books, creating a cozy and organized bedroom."
02818832,b7a13b04910ac53415dd7d7985e749c1,"a two-tiered bunk bed with white mattresses, featuring a straight ladder for the top bunk and a curved ladder for the bottom bunk against a gray background."
02818832,10c15151ebe3d237240ea0cdca7b391a,"A red double-decker bus with two levels, designed for a large number of passengers and featuring a distinctive design with windows and a roof."
02818832,e1f93c13decef335e3c3d58aba901b14,"a white hospital bed with a metal frame, four metal rails, a white mattress, and wheels."
