Class,Subclass,Caption
02691156,e6f0811f15286120cedbd07f4cf21a81,"a white airplane with a red and blue logo, featuring a pointed nose and two wings, flying in the air."
02691156,1890f6391df25286394b1e418d5c594,"a predominantly white jet aircraft with a sleek design, two engines, and a black stripe along the side."
02691156,a5639c976e677ce6e719b5362fe06bbb,"a large, white airplane with a gray and blue striped pattern and two engines on each curved wing."
02691156,a5215569ae825265ff3feb917a6004b,"a large, white airplane with a yellow body and two propellers on each wing."
02691156,cf911e274fb613fbbf3143b1cb6076a,"a white airplane with a black and red logo, two engines, curved wings with a black stripe, and a red tail flying in the sky."
02691156,79dba7fc4ba0829d62b600da24e0965,"a predominantly blue 3D rendering of an airplane with white and gray accents, two engines on each wing, and a white tail with a blue stripe."
02691156,87cf8f265536d4369a6e43b878d5b335,"a green airplane with a pointed nose, two wings, and a small cockpit."
02691156,bad95673c40e3bbd66cf1b4a8fc3914e,"a white airplane with two engines, a pointed nose, and spread wings flying in the sky."
02691156,4843a702815e8ab442ffb0c016ee58f9,"A large commercial airplane in 3D rendering, predominantly white with blue and red accents, featuring a blue-striped wing and a red tail fin, with two engines on each wing."
02691156,4d13a1b180422efc2d0334ee3a22c9fc,a small yellow and white fighter jet with a pointed nose and red tail fin flying in the sky.
02691156,4d223d7a0e8162cabd46d022fd7d80aa,"a 3D rendering of a white airplane with blue and red accents, featuring two engines on each wing and flared wing tips."
02691156,99ee9ae50909ac0cd3cd0742a4ec7e9b,"a white, three-dimensional model of a drone with a rectangular body, pointed nose, and a small camera module on its back."
02691156,3f69370401d4dc9a275386e1d3ac388e,"a three-dimensional model of a jet aircraft with a pointed nose, curved wings, and a straight tail fin."
02691156,da9c541228a171b7ca8607f540cc62ba,"a white airplane with two engines, a sleek design, a pointed nose, and flared wings and tail."
02691156,6b84749eaca0e657f37f38dedb2f1219,"a white airplane with a pointed nose, two engines, a curved body, and spread wings flying in the sky."
02691156,b3950d8c2c1da884e52afb4158d0847e,"a predominantly gray airplane with yellow and black accents, featuring two engines on each wing and propellers on the fuselage, appearing to be in motion against a dark gray background."
02691156,67636e7d15d082089412a62cd6b1bf5,"a small, brown and white airplane with two propellers and a pointed nose."
02691156,cae48a376cb607547d3b11085e75c7ad,"a small, white and red airplane with a pointed nose and a propeller, positioned centrally against a solid gray background."
02691156,37b1f7f02c4b87dbca8607f540cc62ba,a white airplane with a yellow and black tail flying in the sky.
02691156,49f400e6574c75554c3a35cee92bb95b,"a white airplane with two engines on each wing, positioned centrally with wings extending outwards."
02691156,74a5f937c22aa08a3e70653c1b3170b5,"A high-contrast monochromatic image of a fighter jet with a pointed nose, streamlined body, and two engines, set against a solid gray background."
02691156,b45e5b92bb4623ff151f2df200a24ac,"a white airplane with a yellow logo on its side, in the process of taking off against a dark gray background."
02691156,b7bd7a753da0aa113ce4891c7dcdfb1c,"a small, rectangular, beige airplane with a patterned design and a propeller, positioned centrally against a solid gray background."
02691156,cc40acee83422fe892b90699bc4724f9,"a white helicopter with a yellow propeller, pointed nose, and curved body, featuring two rotors and a large wing at the back."
02691156,9469590435736800b87697d3904b168b,"a predominantly black 3D rendering of an airplane with a white wing and tail, two engines, and a nose cone, appearing to be in motion against a solid gray background."
02691156,688f4e273beef132f0daafcf2996daaa,a white airplane with a blue tail fin against a dark gray background.
02691156,fbcc12c5530ab67cad659a74e36b6387,"a white, three-dimensional model of a jet aircraft with a pointed nose and a red triangle, appearing to be in motion against a solid gray background."
02691156,f47c5c54c4e49f62e0a768dae1badf69,"a single, straight, vertical white line resembling a sheet of paper."
02691156,3ae96a1e1bb488942296d88107d065f6,"a white and red spaceship with a blue nose, two wings, a tail fin, and two engines, designed with a pointed cockpit."
02691156,420f3bb771e8e75ed878249aca2571f,"a small, light-colored airplane with two propellers, a pointed nose, and flared wings in flight."
02691156,da67955425ffe66071d03b466c72ce41,"a single-engine airplane with a white body, gray wing, and visible cockpit."
02691156,e5abd988cb34ed9cdc82b8fee1057b30,"a white airplane with a pointed nose, two wings, a blue stripe, and a small window, flying against a gray background."
02691156,adaadca2be822544d81b6465d8dc20b5,"an orange object with a pointed tip and a smooth surface, oriented towards the right against a solid gray background."
02691156,bf5d6902e75fd8812296d88107d065f6,"a small, red and white spaceship with a pointed nose and two wings."
02691156,4bae467a3dad502b90b1d6deb98feec6,a white airplane with a yellow stripe on its tail flying in a dark sky.
02691156,85fd79b9fe5948ff62b600da24e0965,"a flat, rectangular monochromatic object with a smooth surface set against a dark, minimalistic background."
02691156,bb7d526405e9347b8f6810e1a2b6aa04,"A grayscale, simplified representation of a single-engine jet fighter with a streamlined body, prominent nose, tail fin, and smooth texture."
02691156,420f92d84c88244b9a6e43b878d5b335,a 3D rendering of a white airplane with a red and blue tail and two engines on each curved wing.
02691156,9550774ad1c19b24a5a118bd15e6e34f,a white airplane with two propellers on each wing flying in the sky.
02691156,5678fc24603d25cb74745e8fbb11e3df,"a white jet fighter with a sleek design, pointed nose, and large guns on its wings, flying in the sky."
02691156,d24f2a1da14a00ce16b34c3751bc447d,"a black and white, aerodynamic airplane in flight with a pointed nose and V-shaped wings."
02691156,6a54d956a8adb2d0e691625fb79e2c2,"a white jet aircraft with a gray body, yellow nose, two wings, and two engines flying in the sky."
02691156,bb91e932504e90ffcc14f1e6f4f4f49b,"a single white airplane with a streamlined body, pointed nose, and curved wings flying in the sky."
02691156,ffbc31352a34c3e1ffb94dfdd6ddfaf0,a white airplane with two front-facing propellers.
02691156,5d7b52a58c667ca835fc197bbabcd5bd,a stationary white airplane with a single engine in a minimalistic 3D rendering.
02691156,63a2144cfae402149b30aa09067b7eef,a white airplane with blue accents and two propellers flying in the sky.
02691156,8383e10a1d1faf89c7749c7e68c22ddc,"a white spaceship with a pointed nose, two engines, and a blue stripe flying in the sky."
02691156,125417c3fa9bc1b130f57e42c77d3894,"a yellow airplane with a white nose, black wing, and a propeller pointing towards the top left corner."
02691156,43e078c68d2fa3b4d5d30e1306d90d74,"a single, white and black airplane with a pointed nose, red and white striped tail, and circular markings on the wings, facing the camera against a solid gray background."
02691156,dd949574a91719eb7ab25516d117381a,"a white airplane with a blue body, two curved wings, two engines at the front, and two tail fins at the back."
